ID,CAMPAIGN_NAME,DATE,SPEND,IMPRESSIONS,CLICKS
1003503146,ad_network_2_iOS_AU_All_Shared_B_Exact_CPT,2022-12-25,0.00,24,0
1014084170,ad_network_2_iOS_FR_All_C_Exact_CPT,2022-02-25,0.82,30,5
1003288334,ad_network_2_iOS_CA_All_B_Exact_CPT,2022-11-12,25.91,2,5
997563399,ad_network_2_iOS_US_All_Match,2023-02-20,990.93,3910,420
1003505482,ad_network_2_iOS_AU_All_Match,2023-01-26,3.64,7236,128
1003428951,ad_network_2_iOS_NZ_All_Match,2023-03-17,32.16,108,35
1015514764,ad_network_2_iOS_BE_All_B_Exact_CPT,2022-06-29,3.32,10,7
1024322563,ad_network_2_iOS_DE_All_Match,2022-04-09,58.10,1611,44
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-06-28,17.31,950,280
997563399,ad_network_2_iOS_US_All_Match,2022-01-31,71.33,4760,96
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-11-12,0.00,6,0
1024322563,ad_network_2_iOS_DE_All_Match,2022-05-27,222.18,3283,17
1003503722,ad_network_2_iOS_CA_All_Match,2022-05-10,18.85,1820,3
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-07-11,23.40,105,63
1015196756,ad_network_2_iOS_BE_All_Exact_CPT,2022-05-17,0.00,20,0
1003428949,ad_network_2_iOS_UK_All_Match,2022-05-09,96.41,2856,90
1014084170,ad_network_2_iOS_FR_All_C_Exact_CPT,2022-10-09,0.00,4,0
997563399,ad_network_2_iOS_US_All_Match,2022-07-08,22.00,6312,330
1003503722,ad_network_2_iOS_CA_All_Match,2022-09-20,109.80,2765,18
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-08-04,0.00,8,0
1009052654,ad_network_2_iOS_DE_All_Shared_B_Exact_CPT,2022-05-26,0.00,14,0
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2022-11-12,5.30,60,2
1009052654,ad_network_2_iOS_DE_All_Shared_B_Exact_CPT,2022-10-05,0.00,10,0
1003503146,ad_network_2_iOS_AU_All_Shared_B_Exact_CPT,2022-10-08,0.00,5,0
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-03-19,50.14,92,3
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-07-02,0.00,27,0
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-05-25,0.91,20,9
1013960855,ad_network_2_iOS_FR_All_Shared_B_Exact_CPT,2022-06-11,0.00,4,0
